Station,StationDescription,CBSeg2003,CBSeg2003Description,CBSegmentShed2009,CBSegmentShed2009Description,HUC8,HUC12,FIPS,State,CountyCity,USGSGage,FallLine,Latitude,Longitude,UTMX,UTMY,LLDatum
"GEO0009","(NTN) Georges Creek At Franklin; Md","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020302","24001","MD","Allegany","01599000","A",39.49364,-79.04470,152153,4379374,"NAD83 "
"NBP0023","North Branch Potomac Toll Bridge At Oldtown; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020802","24001","MD","Allegany",,"A",39.57447,-78.61537,189446,4386775,"NAD83 "
"NBP0103","North Branch Potomac River West Of Intersection Of Mooreshollow Road And Md Route 51; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020801","24001","MD","Allegany",,"A",39.58268,-78.73145,179511,4388095,"NAD83 "
"NBP0326","North Branch Potomac River Gage Station Near Western Maryland Railroad At Pinto Usgs; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020403","54057","WV","Mineral",,"A",39.56677,-78.83891,170203,4386718,"NAD83 "
"NBP0461","North Branch Potomac At Bridge On Md Route 220; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020402","24001","MD","Allegany",,"A",39.44491,-78.97175,158190,4373684,"NAD83 "
"NBP0534","North Branch Potomac River At Bloomington Upstream Of Confluence/Savage Road; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020207","54057","WV","Mineral",,"A",39.47922,-79.06802,150074,4377863,"NAD83 "
"NBP0689","North Branch Potomac River Downstream Of Md Route 38; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020205","24023","MD","Garrett",,"A",39.38935,-79.17936,140030,4368324,"NAD83 "
"SAV0000","Savage River At Md Route 135; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020207","24023","MD","Garrett",,"A",39.48060,-79.06806,150078,4378017,"NAD83 "
"TUPMP.BIGRUN001","Big Run",,,"POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020103","24023","MD","Garrett",,"A",39.54937,-79.14498,143812,4385956,"NAD83 "
"TUPMP.MFCRCR001","",,,"POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020103","24023","MD","Garrett",,"A",39.51292,-79.15450,142806,4381945,"NAD83 "
"TUPMP.POLIRU001","Poplar Lick Run",,,"POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020101","24023","MD","Garrett",,"A",39.58530,-79.09308,148455,4389740,"NAD83 "
"WIL0013","(NTN) Wills Creek Near Cumberland; Md","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020507","24001","MD","Allegany","01601500","A",39.66185,-78.78029,175685,4397061,"NAD83 "
"WIL0065","(NTN) Wills Creek At Ellerslie; Md","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070002","020700020506","24001","MD","Allegany","01601100","A",39.71850,-78.77097,176750,4403317,"NAD83 "
"1ACAX004.57","(NTN) Catoctin Creek At Taylorstown; Va","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080302","51107","VA","Loudoun","01638480","A",39.25458,-77.57616,277712,4348191,"NAD83 "
"1ADIF000.86","(NTN) Difficult Run Near Great Falls; Va","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700081004","51059","VA","Fairfax","01646000","A",38.97583,-77.24611,305428,4316493,"NAD83 "
"1AGOO011.23","(Ntid) Rt.# 621;Goose Creek Near Leesburg","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080702","51107","VA","Loudoun","01644000","A",39.01844,-77.57638,276948,4321981,"NAD83 "
"CAC0031","Catoctin Creek Near Mouth At Bridge On Md Route 464; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080103","24021","MD","Frederick",,"A",39.33178,-77.58018,277609,4356770,"NAD83 "
"CAC0148","(NTN) Catoctin Creek Near Middletown; Md","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080102","24021","MD","Frederick","01637500","A",39.42578,-77.55900,279731,4367152,"NAD83 "
"CJB0005","(Ntid) Cabin John Branch At Bridge On Macarthur Blvd.; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700081003","24031","MD","Montgomery",,"A",38.97345,-77.14883,313850,4316026,"NAD83 "
"CVA0046","(NTN) Catoctin Creek At Taylorstown; Va","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080302","51107","VA","Loudoun","01638480","A",39.25475,-77.57636,277695,4348210,"NAD83 "
"POT1184","Potomac River Gage Station Above Little Falls Dam; Characterizes Free-Flowing Freshwater","POTTF ","Potomac River-Tidal Fresh Region",,,"02070008","020700081005","24031","MD","Montgomery",,"A",38.94821,-77.12734,315646,4313181,"NAD83 "
"POT1471","Potomac River Terminus Of Whites Ferry; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080403","24031","MD","Montgomery",,"A",39.15442,-77.52125,282141,4336940,"NAD83 "
"POT1472","Potomac River West Terminus Of Whites Ferry; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080403","24031","MD","Montgomery",,"A",39.15551,-77.52232,282052,4337064,"NAD83 "
"POT1595","Potomac River East End Of Bridge; U.S. Route 15; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080401","24021","MD","Frederick",,"A",39.27348,-77.54367,280575,4350210,"NAD83 "
"POT1596","Potomac River (Virginia Side) At Point Of Rocks; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080401","51107","VA","Loudoun",,"A",39.27208,-77.54790,280205,4350064,"NAD83 "
"RAS.09-PL21-Sug-SLR4","Reston Association station",,,"POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080905","51059","VA","Fairfax",,"A",38.97879,-77.36440,295189,4317081,"NAD83 "
"RAS.09-PL22-Sna-DR19","Reston Association station",,,"POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700081004","51059","VA","Fairfax",,"A",38.92989,-77.34590,296652,4311613,"NAD83 "
"SEN0008","Seneca Creek Bridge On Maryland Route 112; Characterizes Free-Flowing Freshwater","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700080803","24031","MD","Montgomery",,"A",39.07958,-77.33964,297621,4328213,"NAD83 "
"TMI01","Mills Creek;Corner Of Warren Place And Dalecarlia Parkwaynw; Down Embankmt;Under Pkwy","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_MD  ","Potomac River-Tidal Fresh Region In Maryland","02070008","020700081005","11001","DC","District Of Columbia",,"A",38.94577,-77.10293,317756,4312861,"NAD83 "
"01646580","(NTN) Potomac River At Chain Bridge; Washington; Dc","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_DC  ","Potomac River-Tidal Fresh Region In Dc","02070010","020700100103","51013","VA","Arlington","01646580","A",38.92955,-77.11692,316501,4311089,"NAD83 "
"01648010","(NTN) Rock Creek At Joyce Rd At Washington; Dc",,,"POTTF_DC  ","Potomac River-Tidal Fresh Region In Dc","02070010","020700100102","11001","DC","District Of Columbia","01648010","A",38.96035,-77.04217,323058,4314359,"NAD83 "
"01651770","(NTN) Hickey Run At New York Avenue At Washington; Dc",,,"ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia","01651770","A",38.91603,-76.96856,329330,4309300,"NAD83 "
"01651800","(NTN) Watts Branch At Washington; Dc",,,"ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia","01651800","A",38.90122,-76.94304,331508,4307609,"NAD83 "
"01654000","(NTN) Accotink Creek Near Annandale; Va",,,"POTTF_VA  ","Potomac River-Tidal Fresh Region In Virginia","02070010","020700100402","51059","VA","Fairfax","01654000","A",38.81273,-77.22872,306492,4298354,"NAD83 "
"1AACO014.57","(NTN) Accotink Creek Near Annandale; Va","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_VA  ","Potomac River-Tidal Fresh Region In Virginia","02070010","020700100402","51059","VA","Fairfax","01654000","A",38.81123,-77.23026,306355,4298191,"NAD83 "
"1ACER016.46","(Ntid) Rt.# 806;Cedar Run Near Catlett","NTGISS","NonTidal Station Outside of Segment Coverage","POTTF_VA  ","Potomac River-Tidal Fresh Region In Virginia","02070010","020700100604","51061","VA","Fauquier","01656000","A",38.63656,-77.62573,271457,4279717,"NAD83 "
"1ADOU000.60","(Tidal) Across From Mt. Vernon Yacht Club","POTTF ","Potomac River-Tidal Fresh Region",,,"02070010","020700100306","51059","VA","Fairfax",,"B",38.69778,-77.12111,315541,4285375,"NAD83 "
"1ANEA000.40","(Tidal) Next To Marker 3/4 Just Before Rr Bridge","POTTF ","Potomac River-Tidal Fresh Region",,,"02070010","020700100804","51153","VA","Prince William",,"B",38.60000,-77.25694,303460,4274805,"NAD83 "
"1ANEA000.57","(Tidal) Rr Bridge","POTTF ","Potomac River-Tidal Fresh Region",,,"02070010","020700100804","51153","VA","Prince William",,"B",38.60000,-77.25692,303462,4274805,"NAD83 "
"1AOCC002.47","(Tidal) Off Sandy Point Near Marker #6","POTTF ","Potomac River-Tidal Fresh Region",,,"02070010","020700100803","51153","VA","Prince William",,"B",38.64028,-77.22222,306592,4279201,"NAD83 "
"1APOH000.21","(Tidal) Gunston Cove Ent@ Red Nun Channel Marker #62","POTTF ","Potomac River-Tidal Fresh Region",,,"02070010","020700100805","51059","VA","Fairfax",,"B",38.66500,-77.13805,313983,4281771,"NAD83 "
"1APOH000.93","(Tidal) Off Gunston Hall","POTTF ","Potomac River-Tidal Fresh Region",,,"02070010","020700100402","51059","VA","Fairfax",,"B",38.67000,-77.14000,313826,4282330,"NAD83 "
"1APOH002.10","(Tidal Fresh) End Of Dock At Pohick Regional Park","POTTF ","Potomac River-Tidal Fresh Region",,,"02070010","020700100402","51059","VA","Fairfax",,"B",38.67589,-77.16642,311543,4283037,"NAD83 "
"1APOH002.32","(Tidal) West Side Of Pohick Boat Ramp","POTTF ","Potomac River-Tidal Fresh Region",,,"02070010","020700100401","51059","VA","Fairfax",,"B",38.68028,-77.16917,311315,4283530,"NAD83 "
"3-PIS009.24","(Ntid) 20 M Upstream From Rt 691 Bridge (Essex)","NTGISS","NonTidal Station Outside of Segment Coverage","RPPMH     ","Rappahannock River-Mesohaline Region","02070010","020700100305","51057","VA","Essex",,"A",37.87722,-76.90000,332899,4193893,"NAD83 "
"AAG01","Approximately 50 Meters Directly Inside The Kenilworth Marsh Inlet From The Anacostia.  Site Is Within The Open Water Between The Vegetated Island And The Fringe Marsh Of Mass Fill Iii.","NGISS ","Tidal Station No GIS Segment","ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia",,"B",38.91400,-76.94886,331033,4309038,"NAD83 "
"AAG02","A High Marsh Station Location Within Mass Fill I Approximately 5 Meters Beyond The Canoe Launch Area At The End Of The Dredged Tidal Gut.  The Invertebrate Transect Extends North Toward The River Trail Road.","NGISS ","Tidal Station No GIS Segment","ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia",,"B",38.91400,-76.94220,331611,4309026,"NAD83 "
"ANA0082","Anacostia River Bridge On Bladenburg Road; Characterizes Free-Flowing Freshwater","NGISS ","Tidal Station No GIS Segment","ANATF_MD  ","Anacostia River-Tidal Fresh Region In Maryland","02070010","020700100204","24033","MD","Prince Georges",,"B",38.93893,-76.94344,331562,4311795,"NAD83 "
"ANA01","New York Avenue Bridge 50m Upstream Of Westbound Bridge","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.91817,-76.94164,331669,4309488,"NAD83 "
"ANA02","Aquatic Gardens Near Middle River Bend","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.91567,-76.94525,331350,4309217,"NAD83 "
"ANA03","Aquatic Gardens Inlet Upstream Side","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.91483,-76.94997,330939,4309132,"NAD83 "
"ANA04","National Arboretum 200m Downstream Of River Bend","NGISS ","Tidal Station No GIS Segment","ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia",,"B",38.91289,-76.95303,330669,4308923,"NAD83 "
"ANA05","Hickey Hill 200m Upstream Of Hickey Run","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.90928,-76.95581,330419,4308527,"NAD83 "
"ANA06","Kingman Lake; Downstream Side","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.90567,-76.95803,330218,4308131,"NAD83 "
"ANA07","Upstream Of Benning Road Pepco Power Plant","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.90206,-76.96025,330017,4307734,"NAD83 "
"ANA08","Benning Road Power Plant; Southern Most Stack","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.89872,-76.96220,329840,4307367,"NAD83 "
"ANA09","Kingman Island; Across From Gazebo On East Bank","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.89511,-76.96220,329831,4306966,"NAD83 "
"ANA10","Upstream Of East Capital Street Bridge","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.89095,-76.96303,329750,4306506,"NAD83 "
"ANA11","Kingman Island South At Daymarker #5","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.88400,-76.96886,329227,4305746,"NAD83 "
"ANA12","Kingman Lake Outlet; Upstream Side","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.88400,-76.96886,329227,4305746,"NAD83 "
"ANA13","Railroad Bridge; 50m Downstream Of Bridge","NGISS ","Tidal Station No GIS Segment","ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia",,"B",38.87734,-76.97192,328946,4305012,"NAD83 "
"ANA14","Pennsylvania Avenue; Marina South Dock","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.87734,-76.97553,328633,4305019,"NAD83 "
"ANA15","Pennsylvania Avenue South; 100m Downstream Of Bridge","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.87595,-76.98025,328220,4304874,"NAD83 "
"ANA16","Anacostia Park Pool Across From Marina Flagpole","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.87428,-76.98470,327830,4304697,"NAD83 "
"ANA17","11th Street Bridge On Upstream Side","NGISS ","Tidal Station No GIS Segment","ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia",,"B",38.87511,-76.98831,327519,4304796,"NAD83 "
"ANA18","Navy Yard East; 200m West Of 11th Street Bridge","NGISS ","Tidal Station No GIS Segment","ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia",,"B",38.86972,-76.99277,327119,4304206,"NAD83 "
"ANA19","Navy Yard; Across From East Pier","NGISS ","Tidal Station No GIS Segment","ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia",,"B",38.87028,-76.99694,326758,4304276,"NAD83 "
"ANA20","Navy Yard West; Next To West Pier","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.87150,-77.00108,326402,4304419,"NAD83 "
"ANA21","100m North Of South Capitol Street Bridge","NGISS ","Tidal Station No GIS Segment","ANATF_DC  ","Anacostia River-Tidal Fresh Region In Dc","02070010","020700100204","11001","DC","District Of Columbia",,"B",38.85289,-77.00470,326042,4302361,"NAD83 "
"ANA22","300m South Of South Capitol Street Bridge","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.86650,-77.00692,325883,4303876,"NAD83 "
"ANA23","Buzzard Point Power Plant; Between Fl#3 And Nun #2","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.86317,-77.00914,325682,4303510,"NAD83 "
"ANA24","Buzzard Point Marina; South Of East Dock","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100204","11001","DC","District Of Columbia",,"B",38.86122,-77.01276,325363,4303301,"NAD83 "
"ANA25","Greenleaf Point; Approximately 100m South Of Can #1","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100301","11001","DC","District Of Columbia",,"B",38.85900,-77.01692,324997,4303062,"NAD83 "
"ANA26","Washington Channel; 200m South Of Red And Green Nun","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100301","11001","DC","District Of Columbia",,"B",38.85622,-77.01914,324798,4302758,"NAD83 "
"ANA27","Hains Point; 100m North Of N #2","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100301","11001","DC","District Of Columbia",,"B",38.85289,-77.02053,324669,4302391,"NAD83 "
"ANA29","At Red And Green Flasher Near Potomac Confluence","ANATF ","Anacostia River-Tidal Fresh Region",,,"02070010","020700100301","11001","DC","District Of Columbia",,"B",38.85067,-77.02220,324518,4302148,"NAD83 "
